recv[0] = -0.978973, LLR [0] = 0.000000
recv[1] = 0.980402, LLR [1] = 0.000000
recv[2] = -0.954560, LLR [2] = 0.000000
recv[3] = -0.899383, LLR [3] = 0.000000
recv[4] = 0.932587, LLR [4] = 0.000000
recv[5] = 1.201188, LLR [5] = 0.000000
recv[6] = -0.835722, LLR [6] = 0.000000
recv[7] = -0.955123, LLR [7] = 0.000000
recv[8] = 1.122891, LLR [8] = 0.000000
recv[9] = -0.945550, LLR [9] = 0.000000
recv[10] = -1.259935, LLR [10] = 0.000000
recv[11] = 0.991059, LLR [11] = 0.000000
recv[12] = 0.963228, LLR [12] = 0.000000
recv[13] = -1.089605, LLR [13] = 0.000000
recv[14] = -1.146954, LLR [14] = 0.000000
recv[15] = 1.173070, LLR [15] = 0.000000
recv[16] = -1.083421, LLR [16] = 0.000000
recv[17] = 0.955285, LLR [17] = 0.000000
recv[18] = -1.018995, LLR [18] = 0.000000
recv[19] = 0.951615, LLR [19] = 0.000000
recv[20] = -1.048123, LLR [20] = 0.000000
recv[21] = -0.902840, LLR [21] = 0.000000
recv[22] = 0.967940, LLR [22] = 0.000000
recv[23] = -1.014845, LLR [23] = 0.000000
recv[24] = 1.006061, LLR [24] = 0.000000
recv[25] = 1.077182, LLR [25] = 0.000000
recv[26] = -0.950035, LLR [26] = 0.000000
recv[27] = -1.011758, LLR [27] = 0.000000
recv[28] = 1.040274, LLR [28] = 0.000000
recv[29] = -1.085385, LLR [29] = 0.000000
recv[30] = -0.895623, LLR [30] = 0.000000
recv[31] = -1.181019, LLR [31] = 0.000000
recv[32] = 0.808081, LLR [32] = 0.000000
recv[33] = -1.097830, LLR [33] = 0.000000
recv[34] = -1.052901, LLR [34] = 0.000000
recv[35] = 0.966127, LLR [35] = 0.000000
recv[36] = 0.975375, LLR [36] = 0.000000
recv[37] = -1.241039, LLR [37] = 0.000000
recv[38] = 0.821991, LLR [38] = 0.000000
recv[39] = -0.960492, LLR [39] = 0.000000
recv[40] = 0.904908, LLR [40] = 0.000000
recv[41] = -1.196714, LLR [41] = 0.000000
recv[42] = 1.003463, LLR [42] = 0.000000
recv[43] = 1.010957, LLR [43] = 0.000000
recv[44] = 0.986383, LLR [44] = 0.000000
